"PID","JAR","FORMAT","STEP","START","END","DURATION","ORDER","complexity_score","STEP_CODE","COMPLEXITY"
"P02","jar2","APP","Step 48",00:11:49.0,00:12:44.8,55.7999999523163,"BOOK_FIRST",5,"S48","medium"
"P02","jar2","APP","Step 49",00:12:44.8,00:13:22.4,37.6000001430511,"BOOK_FIRST",6,"S49","medium"
"P02","jar2","APP","Step 50",00:13:22.4,00:13:48.5,26.0999999046326,"BOOK_FIRST",4,"S50","low"
"P02","jar2","APP","Step 51",00:13:48.5,00:14:28.2,39.7000000476837,"BOOK_FIRST",8,"S51","medium"
"P02","jar2","APP","Step 52",00:14:28.2,00:14:49.1,20.8999998569489,"BOOK_FIRST",4,"S52","low"
"P02","jar2","APP","Step 53",00:14:49.1,00:15:18.1,29,"BOOK_FIRST",5,"S53","medium"
"P02","jar2","APP","Step 54",00:15:18.1,00:15:53.0,34.9000000953674,"BOOK_FIRST",4,"S54","low"
"P02","jar2","APP","Step 55",00:15:53.0,00:16:09.8,16.7999999523163,"BOOK_FIRST",3,"S55","low"
"P02","jar2","APP","Step 56",00:16:09.8,00:16:38.7,28.9000000953674,"BOOK_FIRST",6,"S56","medium"
"P02","jar2","APP","Step 57",00:16:38.7,00:17:10.2,31.5,"BOOK_FIRST",3,"S57","low"
"P02","jar2","APP","Step 58",00:17:10.1,00:17:25.3,15.2000000476837,"BOOK_FIRST",3,"S58","low"
"P03","jar1","APP","Step 0A",00:00:13.1,00:00:54.3,41.2000000476837,"APP_FIRST",NA,NA,NA
"P03","jar1","APP","Step 1",00:00:54.3,00:00:55.6,1.29999995231628,"APP_FIRST",2,"S01","low"
"P03","jar1","APP","Step 2",00:00:55.7,00:01:54.3,58.5999999046326,"APP_FIRST",5,"S02","medium"
"P03","jar1","APP","Step 3",00:01:54.3,00:02:07.7,13.4000000953674,"APP_FIRST",2,"S03","low"
"P03","jar1","APP","Step 4",00:02:07.7,00:02:41.9,34.2000000476837,"APP_FIRST",5,"S04","medium"
